1	,	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	;
3	,	0.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	;
5	,	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	;
7	,	0.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	;
9	,	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	;
11	,	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	;
13	,	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	;
15	,	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	;
17	,	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	;
19	,	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.95	0.00	0.00	0.00	0.00	0.05	;
21	,	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	;
23	,	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.95	0.00	0.00	0.00	0.00	0.05	;
25	,	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	;
27	,	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	;
29	,	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.95	0.00	0.00	0.05	;
31	,	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.90	0.00	0.00	0.10	;
33	,	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	;
35	,	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.95	0.00	0.05	;
37	,	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.90	0.00	0.10	;
39	,	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	;
41	,	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	;
43	,	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	;
45	,	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	;
47	,	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	;
49	,	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	;
51	,	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	;
53	,	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	;
55	,	0.00	0.00	0.00	0.00	0.00	0.95	0.00	0.00	0.00	0.00	0.00	0.00	0.05	;
57	,	0.00	0.00	0.00	0.00	0.00	0.90	0.00	0.00	0.00	0.00	0.00	0.00	0.10	;
59	,	0.00	0.00	0.00	0.00	0.00	0.90	0.00	0.00	0.00	0.00	0.00	0.00	0.10	;
61	,	0.00	0.00	0.00	0.00	0.00	0.90	0.00	0.00	0.00	0.00	0.00	0.00	0.10	;
63	,	0.00	0.00	0.00	0.00	0.00	0.90	0.00	0.00	0.00	0.00	0.00	0.00	0.10	;
65	,	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	;
67	,	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.95	0.00	0.05	;
69	,	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.90	0.00	0.10	;
71	,	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.90	0.00	0.10	;
73	,	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.90	;
75	,	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.90	;
77	,	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.90	;
79	,	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.90	;
0	,	0.000	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	;
2	,	0.004	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.079	;
4	,	0.000	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	;
6	,	0.004	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.079	;
8	,	0.000	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	;
10	,	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.000	0.083	0.083	;
12	,	0.083	0.083	0.000	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	;
14	,	0.083	0.083	0.083	0.083	0.083	0.000	0.083	0.083	0.083	0.083	0.083	0.083	0.083	;
16	,	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.000	0.083	0.083	0.083	0.083	0.083	;
18	,	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.004	0.083	0.083	0.083	0.083	0.079	;
20	,	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.000	0.083	0.083	0.083	0.083	0.083	;
22	,	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.004	0.083	0.083	0.083	0.083	0.079	;
24	,	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.000	0.083	0.083	0.083	0.083	0.083	;
26	,	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.000	0.083	0.083	0.083	;
28	,	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.004	0.083	0.083	0.079	;
30	,	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.008	0.083	0.083	0.075	;
32	,	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.000	0.083	0.083	;
34	,	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.004	0.083	0.079	;
36	,	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.008	0.083	0.075	;
38	,	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.000	0.083	0.083	0.083	;
40	,	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.000	0.083	0.083	0.083	0.083	0.083	;
42	,	0.083	0.083	0.083	0.083	0.083	0.000	0.083	0.083	0.083	0.083	0.083	0.083	0.083	;
44	,	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.000	0.083	0.083	;
46	,	0.083	0.083	0.000	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	;
